time_ps,mem_init,accepted,x_hex,y_hex,h_hex
2665000,1,1,40066666,3fa4e19e,3d4ccccd
2675000,1,1,40066666,3fa4e19e,3d4ccccd
2685000,1,1,40066666,3fa4e19e,3d4ccccd
2695000,1,1,40066666,3fa4e19e,3d4ccccd
2705000,1,1,40066666,3fa4e19e,3d4ccccd
2715000,1,1,40066666,3fa4e19e,3d4ccccd
2725000,1,1,40066666,3fa4e19e,3d4ccccd
2735000,1,1,40066666,3fa4e19e,3d4ccccd
2745000,1,1,40066666,3fa4e19e,3d4ccccd
2755000,1,1,40066666,3fa4e19e,3d4ccccd
2765000,1,1,40066666,3fa4e19e,3d4ccccd
2775000,1,1,40066666,3fa4e19e,3d4ccccd
2785000,1,1,40066666,3fa4e19e,3d4ccccd
2795000,1,1,40066666,3fa4e19e,3d4ccccd
2805000,1,1,40066666,3fa4e19e,3d4ccccd
2815000,1,1,40066666,3fa4e19e,3d4ccccd
2825000,1,1,40066666,3fa4e19e,3d4ccccd
2835000,1,1,40066666,3fa4e19e,3d4ccccd
2845000,1,1,40066666,3fa4e19e,3d4ccccd
2855000,1,1,40066666,3fa4e19e,3d4ccccd
2865000,1,1,40066666,3fa4e19e,3d4ccccd
2875000,1,1,40066666,3fa4e19e,3d4ccccd
2885000,1,1,40066666,3fa4e19e,3d4ccccd
2895000,1,1,40066666,3fa4e19e,3d4ccccd
2905000,1,1,40066666,3fa4e19e,3d4ccccd
2915000,1,1,40066666,3fa4e19e,3d4ccccd
2925000,1,1,40066666,3fa4e19e,3d4ccccd
2935000,1,1,40066666,3fa4e19e,3d4ccccd
2945000,1,1,40066666,3fa4e19e,3d4ccccd
2955000,1,1,40066666,3fa4e19e,3d4ccccd
2965000,1,1,40066666,3fa4e19e,3d4ccccd
2975000,1,1,40066666,3fa4e19e,3d4ccccd
2985000,1,1,40066666,3fa4e19e,3d4ccccd
2995000,1,1,40066666,3fa4e19e,3d4ccccd
3005000,1,1,40066666,3fa4e19e,3d4ccccd
3015000,1,1,40066666,3fa4e19e,3d4ccccd
3025000,1,1,40066666,3fa4e19e,3d4ccccd
3035000,1,1,40066666,3fa4e19e,3d4ccccd
3045000,1,1,40066666,3fa4e19e,3d4ccccd
3055000,1,1,40066666,3fa4e19e,3d4ccccd
3065000,1,1,40066666,3fa4e19e,3d4ccccd
3075000,1,1,40066666,3fa4e19e,3d4ccccd
3085000,1,1,40066666,3fa4e19e,3d4ccccd
3095000,1,1,40066666,3fa4e19e,3d4ccccd
3105000,1,1,40066666,3fa4e19e,3d4ccccd
3115000,1,1,40066666,3fa4e19e,3d4ccccd
3125000,1,1,40066666,3fa4e19e,3d4ccccd
3135000,1,1,40066666,3fa4e19e,3d4ccccd
3145000,1,1,40066666,3fa4e19e,3d4ccccd
3155000,1,1,40066666,3fa4e19e,3d4ccccd
3165000,1,1,40066666,3fa4e19e,3d4ccccd
3175000,1,1,40066666,3fa4e19e,3d4ccccd
3185000,1,1,40066666,3fa4e19e,3d4ccccd
3195000,1,1,40066666,3fa4e19e,3d4ccccd
3205000,1,1,40066666,3fa4e19e,3d4ccccd
3215000,1,1,40066666,3fa4e19e,3d4ccccd
3225000,1,1,40066666,3fa4e19e,3d4ccccd
3235000,1,1,40066666,3fa4e19e,3d4ccccd
3245000,1,1,40066666,3fa4e19e,3d4ccccd
3255000,1,1,40066666,3fa4e19e,3d4ccccd
3265000,1,1,40066666,3fa4e19e,3d4ccccd
3275000,1,1,40066666,3fa4e19e,3d4ccccd
3285000,1,1,40066666,3fa4e19e,3d4ccccd
3295000,1,1,40066666,3fa4e19e,3d4ccccd
3305000,1,1,40066666,3fa4e19e,3d4ccccd
3315000,1,1,40066666,3fa4e19e,3d4ccccd
3325000,1,1,40066666,3fa4e19e,3d4ccccd
3335000,1,1,40066666,3fa4e19e,3d4ccccd
3345000,1,1,40066666,3fa4e19e,3d4ccccd
3355000,1,1,40066666,3fa4e19e,3d4ccccd
3365000,1,1,40066666,3fa4e19e,3d4ccccd
3375000,1,1,40066666,3fa4e19e,3d4ccccd
3385000,1,1,40066666,3fa4e19e,3d4ccccd
3395000,1,1,40066666,3fa4e19e,3d4ccccd
3405000,1,1,40066666,3fa4e19e,3d4ccccd
3415000,1,1,40066666,3fa4e19e,3d4ccccd
3425000,1,1,40066666,3fa4e19e,3d4ccccd
3435000,1,1,40066666,3fa4e19e,3d4ccccd
3445000,1,1,40066666,3fa4e19e,3d4ccccd
3455000,1,1,40066666,3fa4e19e,3d4ccccd
3465000,1,1,40066666,3fa4e19e,3d4ccccd
3475000,1,1,40066666,3fa4e19e,3d4ccccd
3485000,1,1,40066666,3fa4e19e,3d4ccccd
3495000,1,1,40066666,3fa4e19e,3d4ccccd
3505000,1,1,40066666,3fa4e19e,3d4ccccd
3515000,1,1,40066666,3fa4e19e,3d4ccccd
3525000,1,1,40066666,3fa4e19e,3d4ccccd
3535000,1,1,40066666,3fa4e19e,3d4ccccd
3545000,1,1,40066666,3fa4e19e,3d4ccccd
3555000,1,1,40066666,3fa4e19e,3d4ccccd
3565000,1,1,40066666,3fa4e19e,3d4ccccd
3575000,1,1,40066666,3fa4e19e,3d4ccccd
3585000,1,1,40066666,3fa4e19e,3d4ccccd
3595000,1,1,40066666,3fa4e19e,3d4ccccd
3605000,1,1,40066666,3fa4e19e,3d4ccccd
3615000,1,1,40066666,3fa4e19e,3d4ccccd
3625000,1,1,40066666,3fa4e19e,3d4ccccd
3635000,1,1,40066666,3fa4e19e,3d4ccccd
3645000,1,1,40066666,3fa4e19e,3d4ccccd
3655000,1,1,40066666,3fa4e19e,3d4ccccd
3665000,1,1,40066666,3fa4e19e,3d4ccccd
3675000,1,1,40066666,3fa4e19e,3d4ccccd
3685000,1,1,40066666,3fa4e19e,3d4ccccd
3695000,1,1,40066666,3fa4e19e,3d4ccccd
3705000,1,1,40066666,3fa4e19e,3d4ccccd
3715000,1,1,40066666,3fa4e19e,3d4ccccd
3725000,1,1,40066666,3fa4e19e,3d4ccccd
3735000,1,1,40066666,3fa4e19e,3d4ccccd
3745000,1,1,40066666,3fa4e19e,3d4ccccd
3755000,1,1,40066666,3fa4e19e,3d4ccccd
3765000,1,1,40066666,3fa4e19e,3d4ccccd
3775000,1,1,40066666,3fa4e19e,3d4ccccd
3785000,1,1,40066666,3fa4e19e,3d4ccccd
3795000,1,1,40066666,3fa4e19e,3d4ccccd
3805000,1,1,40066666,3fa4e19e,3d4ccccd
3815000,1,1,40066666,3fa4e19e,3d4ccccd
3825000,1,1,40066666,3fa4e19e,3d4ccccd
3835000,1,1,40066666,3fa4e19e,3d4ccccd
3845000,1,1,40066666,3fa4e19e,3d4ccccd
3855000,1,1,40066666,3fa4e19e,3d4ccccd
3865000,1,1,40066666,3fa4e19e,3d4ccccd
3875000,1,1,40066666,3fa4e19e,3d4ccccd
3885000,1,1,40066666,3fa4e19e,3d4ccccd
3895000,1,1,40066666,3fa4e19e,3d4ccccd
3905000,1,1,40066666,3fa4e19e,3d4ccccd
3915000,1,1,40066666,3fa4e19e,3d4ccccd
3925000,1,1,40066666,3fa4e19e,3d4ccccd
3935000,1,1,40066666,3fa4e19e,3d4ccccd
3945000,1,1,40066666,3fa4e19e,3d4ccccd
3955000,1,1,40066666,3fa4e19e,3d4ccccd
3965000,1,1,40066666,3fa4e19e,3d4ccccd
3975000,1,1,40066666,3fa4e19e,3d4ccccd
3985000,1,1,40066666,3fa4e19e,3d4ccccd
3995000,1,1,40066666,3fa4e19e,3d4ccccd
4005000,1,1,40066666,3fa4e19e,3d4ccccd
4015000,1,1,40066666,3fa4e19e,3d4ccccd
4025000,1,1,40066666,3fa4e19e,3d4ccccd
4035000,1,1,40066666,3fa4e19e,3d4ccccd
4045000,1,1,40066666,3fa4e19e,3d4ccccd
4055000,1,1,40066666,3fa4e19e,3d4ccccd
4065000,1,1,40066666,3fa4e19e,3d4ccccd
4075000,1,1,40066666,3fa4e19e,3d4ccccd
4085000,1,1,40066666,3fa4e19e,3d4ccccd
4095000,1,1,40066666,3fa4e19e,3d4ccccd
4105000,1,1,40066666,3fa4e19e,3d4ccccd
4115000,1,1,40066666,3fa4e19e,3d4ccccd
4125000,1,1,40066666,3fa4e19e,3d4ccccd
4135000,1,1,40066666,3fa4e19e,3d4ccccd
4145000,1,1,40066666,3fa4e19e,3d4ccccd
4155000,1,1,40066666,3fa4e19e,3d4ccccd
4165000,1,1,40066666,3fa4e19e,3d4ccccd
4175000,1,1,40066666,3fa4e19e,3d4ccccd
4185000,1,1,40066666,3fa4e19e,3d4ccccd
4195000,1,1,40066666,3fa4e19e,3d4ccccd
4205000,1,1,40066666,3fa4e19e,3d4ccccd
4215000,1,1,40066666,3fa4e19e,3d4ccccd
4225000,1,1,40066666,3fa4e19e,3d4ccccd
4235000,1,1,40066666,3fa4e19e,3d4ccccd
4245000,1,1,40066666,3fa4e19e,3d4ccccd
4255000,1,1,40066666,3fa4e19e,3d4ccccd
4265000,1,1,40066666,3fa4e19e,3d4ccccd
4275000,1,1,40066666,3fa4e19e,3d4ccccd
4285000,1,1,40066666,3fa4e19e,3d4ccccd
4295000,1,1,40066666,3fa4e19e,3d4ccccd
4305000,1,1,40066666,3fa4e19e,3d4ccccd
4315000,1,1,40066666,3fa4e19e,3d4ccccd
4325000,1,1,40066666,3fa4e19e,3d4ccccd
4335000,1,1,40066666,3fa4e19e,3d4ccccd
4345000,1,1,40066666,3fa4e19e,3d4ccccd
4355000,1,1,40066666,3fa4e19e,3d4ccccd
4365000,1,1,40066666,3fa4e19e,3d4ccccd
4375000,1,1,40066666,3fa4e19e,3d4ccccd
4385000,1,1,40066666,3fa4e19e,3d4ccccd
4395000,1,1,40066666,3fa4e19e,3d4ccccd
4405000,1,1,40066666,3fa4e19e,3d4ccccd
4415000,1,1,40066666,3fa4e19e,3d4ccccd
4425000,1,1,40066666,3fa4e19e,3d4ccccd
4435000,1,1,40066666,3fa4e19e,3d4ccccd
4445000,1,1,40066666,3fa4e19e,3d4ccccd
4455000,1,1,40066666,3fa4e19e,3d4ccccd
4465000,1,1,40066666,3fa4e19e,3d4ccccd
4475000,1,1,40066666,3fa4e19e,3d4ccccd
4485000,1,1,40066666,3fa4e19e,3d4ccccd
4495000,1,1,40066666,3fa4e19e,3d4ccccd
4505000,1,1,40066666,3fa4e19e,3d4ccccd
4515000,1,1,40066666,3fa4e19e,3d4ccccd
4525000,1,1,40066666,3fa4e19e,3d4ccccd
4535000,1,1,40066666,3fa4e19e,3d4ccccd
4545000,1,1,40066666,3fa4e19e,3d4ccccd
4555000,1,1,40066666,3fa4e19e,3d4ccccd
4565000,1,1,40066666,3fa4e19e,3d4ccccd
4575000,1,1,40066666,3fa4e19e,3d4ccccd
4585000,1,1,40066666,3fa4e19e,3d4ccccd
4595000,1,1,40066666,3fa4e19e,3d4ccccd
4605000,1,1,40066666,3fa4e19e,3d4ccccd
4615000,1,1,40066666,3fa4e19e,3d4ccccd
4625000,1,1,40066666,3fa4e19e,3d4ccccd
4635000,1,1,40066666,3fa4e19e,3d4ccccd
4645000,1,1,40066666,3fa4e19e,3d4ccccd
4655000,1,1,40066666,3fa4e19e,3d4ccccd
4665000,1,1,40066666,3fa4e19e,3d4ccccd
4675000,1,1,40066666,3fa4e19e,3d4ccccd
4685000,1,1,40066666,3fa4e19e,3d4ccccd
4695000,1,1,40066666,3fa4e19e,3d4ccccd
4705000,1,1,40066666,3fa4e19e,3d4ccccd
4715000,1,1,40066666,3fa4e19e,3d4ccccd
4725000,1,1,40066666,3fa4e19e,3d4ccccd
4735000,1,1,40066666,3fa4e19e,3d4ccccd
4745000,1,1,40066666,3fa4e19e,3d4ccccd
4755000,1,1,40066666,3fa4e19e,3d4ccccd
4765000,1,1,40066666,3fa4e19e,3d4ccccd
4775000,1,1,40066666,3fa4e19e,3d4ccccd
4785000,1,1,40066666,3fa4e19e,3d4ccccd
4795000,1,1,40066666,3fa4e19e,3d4ccccd
4805000,1,1,40066666,3fa4e19e,3d4ccccd
4815000,1,1,40066666,3fa4e19e,3d4ccccd
4825000,1,1,40066666,3fa4e19e,3d4ccccd
4835000,1,1,40066666,3fa4e19e,3d4ccccd
4845000,1,1,40066666,3fa4e19e,3d4ccccd
4855000,1,1,40066666,3fa4e19e,3d4ccccd
4865000,1,1,40066666,3fa4e19e,3d4ccccd
4875000,1,1,40066666,3fa4e19e,3d4ccccd
4885000,1,1,40066666,3fa4e19e,3d4ccccd
4895000,1,1,40066666,3fa4e19e,3d4ccccd
4905000,1,1,40066666,3fa4e19e,3d4ccccd
4915000,1,1,40066666,3fa4e19e,3d4ccccd
4925000,1,1,40066666,3fa4e19e,3d4ccccd
4935000,1,1,40066666,3fa4e19e,3d4ccccd
4945000,1,1,40066666,3fa4e19e,3d4ccccd
4955000,1,1,40066666,3fa4e19e,3d4ccccd
4965000,1,1,40066666,3fa4e19e,3d4ccccd
4975000,1,1,40066666,3fa4e19e,3d4ccccd
4985000,1,1,40066666,3fa4e19e,3d4ccccd
4995000,1,1,40066666,3fa4e19e,3d4ccccd
5005000,1,1,40066666,3fa4e19e,3d4ccccd
5015000,1,1,40066666,3fa4e19e,3d4ccccd
5025000,1,1,40066666,3fa4e19e,3d4ccccd
5035000,1,1,40066666,3fa4e19e,3d4ccccd
5045000,1,1,40066666,3fa4e19e,3d4ccccd
5055000,1,1,40066666,3fa4e19e,3d4ccccd
5065000,1,1,40066666,3fa4e19e,3d4ccccd
5075000,1,1,40066666,3fa4e19e,3d4ccccd
5085000,1,1,40066666,3fa4e19e,3d4ccccd
5095000,1,1,40066666,3fa4e19e,3d4ccccd
5105000,1,1,40066666,3fa4e19e,3d4ccccd
5115000,1,1,40066666,3fa4e19e,3d4ccccd
5125000,1,1,40066666,3fa4e19e,3d4ccccd
5135000,1,1,40066666,3fa4e19e,3d4ccccd
5145000,1,1,40066666,3fa4e19e,3d4ccccd
5155000,1,1,40066666,3fa4e19e,3d4ccccd
7665000,1,1,400ccccc,3fc62378,3d4ccccd
7675000,1,1,400ccccc,3fc62378,3d4ccccd
7685000,1,1,400ccccc,3fc62378,3d4ccccd
7695000,1,1,400ccccc,3fc62378,3d4ccccd
7705000,1,1,400ccccc,3fc62378,3d4ccccd
7715000,1,1,400ccccc,3fc62378,3d4ccccd
7725000,1,1,400ccccc,3fc62378,3d4ccccd
7735000,1,1,400ccccc,3fc62378,3d4ccccd
7745000,1,1,400ccccc,3fc62378,3d4ccccd
7755000,1,1,400ccccc,3fc62378,3d4ccccd
7765000,1,1,400ccccc,3fc62378,3d4ccccd
7775000,1,1,400ccccc,3fc62378,3d4ccccd
7785000,1,1,400ccccc,3fc62378,3d4ccccd
7795000,1,1,400ccccc,3fc62378,3d4ccccd
7805000,1,1,400ccccc,3fc62378,3d4ccccd
7815000,1,1,400ccccc,3fc62378,3d4ccccd
7825000,1,1,400ccccc,3fc62378,3d4ccccd
7835000,1,1,400ccccc,3fc62378,3d4ccccd
7845000,1,1,400ccccc,3fc62378,3d4ccccd
7855000,1,1,400ccccc,3fc62378,3d4ccccd
7865000,1,1,400ccccc,3fc62378,3d4ccccd
7875000,1,1,400ccccc,3fc62378,3d4ccccd
7885000,1,1,400ccccc,3fc62378,3d4ccccd
7895000,1,1,400ccccc,3fc62378,3d4ccccd
7905000,1,1,400ccccc,3fc62378,3d4ccccd
7915000,1,1,400ccccc,3fc62378,3d4ccccd
7925000,1,1,400ccccc,3fc62378,3d4ccccd
7935000,1,1,400ccccc,3fc62378,3d4ccccd
7945000,1,1,400ccccc,3fc62378,3d4ccccd
7955000,1,1,400ccccc,3fc62378,3d4ccccd
7965000,1,1,400ccccc,3fc62378,3d4ccccd
7975000,1,1,400ccccc,3fc62378,3d4ccccd
7985000,1,1,400ccccc,3fc62378,3d4ccccd
7995000,1,1,400ccccc,3fc62378,3d4ccccd
8005000,1,1,400ccccc,3fc62378,3d4ccccd
8015000,1,1,400ccccc,3fc62378,3d4ccccd
8025000,1,1,400ccccc,3fc62378,3d4ccccd
8035000,1,1,400ccccc,3fc62378,3d4ccccd
8045000,1,1,400ccccc,3fc62378,3d4ccccd
8055000,1,1,400ccccc,3fc62378,3d4ccccd
8065000,1,1,400ccccc,3fc62378,3d4ccccd
8075000,1,1,400ccccc,3fc62378,3d4ccccd
8085000,1,1,400ccccc,3fc62378,3d4ccccd
8095000,1,1,400ccccc,3fc62378,3d4ccccd
8105000,1,1,400ccccc,3fc62378,3d4ccccd
8115000,1,1,400ccccc,3fc62378,3d4ccccd
8125000,1,1,400ccccc,3fc62378,3d4ccccd
8135000,1,1,400ccccc,3fc62378,3d4ccccd
8145000,1,1,400ccccc,3fc62378,3d4ccccd
8155000,1,1,400ccccc,3fc62378,3d4ccccd
8165000,1,1,400ccccc,3fc62378,3d4ccccd
8175000,1,1,400ccccc,3fc62378,3d4ccccd
8185000,1,1,400ccccc,3fc62378,3d4ccccd
8195000,1,1,400ccccc,3fc62378,3d4ccccd
8205000,1,1,400ccccc,3fc62378,3d4ccccd
8215000,1,1,400ccccc,3fc62378,3d4ccccd
8225000,1,1,400ccccc,3fc62378,3d4ccccd
8235000,1,1,400ccccc,3fc62378,3d4ccccd
8245000,1,1,400ccccc,3fc62378,3d4ccccd
8255000,1,1,400ccccc,3fc62378,3d4ccccd
8265000,1,1,400ccccc,3fc62378,3d4ccccd
8275000,1,1,400ccccc,3fc62378,3d4ccccd
8285000,1,1,400ccccc,3fc62378,3d4ccccd
8295000,1,1,400ccccc,3fc62378,3d4ccccd
8305000,1,1,400ccccc,3fc62378,3d4ccccd
8315000,1,1,400ccccc,3fc62378,3d4ccccd
8325000,1,1,400ccccc,3fc62378,3d4ccccd
8335000,1,1,400ccccc,3fc62378,3d4ccccd
8345000,1,1,400ccccc,3fc62378,3d4ccccd
8355000,1,1,400ccccc,3fc62378,3d4ccccd
8365000,1,1,400ccccc,3fc62378,3d4ccccd
8375000,1,1,400ccccc,3fc62378,3d4ccccd
8385000,1,1,400ccccc,3fc62378,3d4ccccd
8395000,1,1,400ccccc,3fc62378,3d4ccccd
8405000,1,1,400ccccc,3fc62378,3d4ccccd
8415000,1,1,400ccccc,3fc62378,3d4ccccd
8425000,1,1,400ccccc,3fc62378,3d4ccccd
8435000,1,1,400ccccc,3fc62378,3d4ccccd
8445000,1,1,400ccccc,3fc62378,3d4ccccd
8455000,1,1,400ccccc,3fc62378,3d4ccccd
8465000,1,1,400ccccc,3fc62378,3d4ccccd
8475000,1,1,400ccccc,3fc62378,3d4ccccd
8485000,1,1,400ccccc,3fc62378,3d4ccccd
8495000,1,1,400ccccc,3fc62378,3d4ccccd
8505000,1,1,400ccccc,3fc62378,3d4ccccd
8515000,1,1,400ccccc,3fc62378,3d4ccccd
8525000,1,1,400ccccc,3fc62378,3d4ccccd
8535000,1,1,400ccccc,3fc62378,3d4ccccd
8545000,1,1,400ccccc,3fc62378,3d4ccccd
8555000,1,1,400ccccc,3fc62378,3d4ccccd
8565000,1,1,400ccccc,3fc62378,3d4ccccd
8575000,1,1,400ccccc,3fc62378,3d4ccccd
8585000,1,1,400ccccc,3fc62378,3d4ccccd
8595000,1,1,400ccccc,3fc62378,3d4ccccd
8605000,1,1,400ccccc,3fc62378,3d4ccccd
8615000,1,1,400ccccc,3fc62378,3d4ccccd
8625000,1,1,400ccccc,3fc62378,3d4ccccd
8635000,1,1,400ccccc,3fc62378,3d4ccccd
8645000,1,1,400ccccc,3fc62378,3d4ccccd
8655000,1,1,400ccccc,3fc62378,3d4ccccd
8665000,1,1,400ccccc,3fc62378,3d4ccccd
8675000,1,1,400ccccc,3fc62378,3d4ccccd
8685000,1,1,400ccccc,3fc62378,3d4ccccd
8695000,1,1,400ccccc,3fc62378,3d4ccccd
8705000,1,1,400ccccc,3fc62378,3d4ccccd
8715000,1,1,400ccccc,3fc62378,3d4ccccd
8725000,1,1,400ccccc,3fc62378,3d4ccccd
8735000,1,1,400ccccc,3fc62378,3d4ccccd
8745000,1,1,400ccccc,3fc62378,3d4ccccd
8755000,1,1,400ccccc,3fc62378,3d4ccccd
8765000,1,1,400ccccc,3fc62378,3d4ccccd
8775000,1,1,400ccccc,3fc62378,3d4ccccd
8785000,1,1,400ccccc,3fc62378,3d4ccccd
8795000,1,1,400ccccc,3fc62378,3d4ccccd
8805000,1,1,400ccccc,3fc62378,3d4ccccd
8815000,1,1,400ccccc,3fc62378,3d4ccccd
8825000,1,1,400ccccc,3fc62378,3d4ccccd
8835000,1,1,400ccccc,3fc62378,3d4ccccd
8845000,1,1,400ccccc,3fc62378,3d4ccccd
8855000,1,1,400ccccc,3fc62378,3d4ccccd
8865000,1,1,400ccccc,3fc62378,3d4ccccd
8875000,1,1,400ccccc,3fc62378,3d4ccccd
8885000,1,1,400ccccc,3fc62378,3d4ccccd
8895000,1,1,400ccccc,3fc62378,3d4ccccd
8905000,1,1,400ccccc,3fc62378,3d4ccccd
8915000,1,1,400ccccc,3fc62378,3d4ccccd
8925000,1,1,400ccccc,3fc62378,3d4ccccd
8935000,1,1,400ccccc,3fc62378,3d4ccccd
8945000,1,1,400ccccc,3fc62378,3d4ccccd
8955000,1,1,400ccccc,3fc62378,3d4ccccd
8965000,1,1,400ccccc,3fc62378,3d4ccccd
8975000,1,1,400ccccc,3fc62378,3d4ccccd
8985000,1,1,400ccccc,3fc62378,3d4ccccd
8995000,1,1,400ccccc,3fc62378,3d4ccccd
9005000,1,1,400ccccc,3fc62378,3d4ccccd
9015000,1,1,400ccccc,3fc62378,3d4ccccd
9025000,1,1,400ccccc,3fc62378,3d4ccccd
9035000,1,1,400ccccc,3fc62378,3d4ccccd
9045000,1,1,400ccccc,3fc62378,3d4ccccd
9055000,1,1,400ccccc,3fc62378,3d4ccccd
9065000,1,1,400ccccc,3fc62378,3d4ccccd
9075000,1,1,400ccccc,3fc62378,3d4ccccd
9085000,1,1,400ccccc,3fc62378,3d4ccccd
9095000,1,1,400ccccc,3fc62378,3d4ccccd
9105000,1,1,400ccccc,3fc62378,3d4ccccd
9115000,1,1,400ccccc,3fc62378,3d4ccccd
9125000,1,1,400ccccc,3fc62378,3d4ccccd
9135000,1,1,400ccccc,3fc62378,3d4ccccd
9145000,1,1,400ccccc,3fc62378,3d4ccccd
9155000,1,1,400ccccc,3fc62378,3d4ccccd
9165000,1,1,400ccccc,3fc62378,3d4ccccd
9175000,1,1,400ccccc,3fc62378,3d4ccccd
9185000,1,1,400ccccc,3fc62378,3d4ccccd
9195000,1,1,400ccccc,3fc62378,3d4ccccd
9205000,1,1,400ccccc,3fc62378,3d4ccccd
9215000,1,1,400ccccc,3fc62378,3d4ccccd
9225000,1,1,400ccccc,3fc62378,3d4ccccd
9235000,1,1,400ccccc,3fc62378,3d4ccccd
9245000,1,1,400ccccc,3fc62378,3d4ccccd
9255000,1,1,400ccccc,3fc62378,3d4ccccd
9265000,1,1,400ccccc,3fc62378,3d4ccccd
9275000,1,1,400ccccc,3fc62378,3d4ccccd
9285000,1,1,400ccccc,3fc62378,3d4ccccd
9295000,1,1,400ccccc,3fc62378,3d4ccccd
9305000,1,1,400ccccc,3fc62378,3d4ccccd
9315000,1,1,400ccccc,3fc62378,3d4ccccd
9325000,1,1,400ccccc,3fc62378,3d4ccccd
